date,pf_close,gd_close
2016-01-04,10.6,4.01
2016-01-05,10.7,4.03
2016-01-06,10.78,4.08
2016-01-07,10.43,3.91
2016-01-08,10.42,3.98
2016-01-11,10.15,3.81
2016-01-12,10.39,3.83
2016-01-13,10.36,3.79
2016-01-14,10.67,3.79
2016-01-15,10.47,3.66
2016-01-18,10.53,3.63
2016-01-19,10.58,3.7
2016-01-20,10.27,3.65
2016-01-21,9.87,3.64
2016-01-22,10.14,3.67
2016-01-25,10.14,3.67
2016-01-26,9.92,3.48
2016-01-27,9.93,3.49
2016-01-28,9.87,3.42
2016-01-29,10.07,3.53
2016-02-01,9.83,3.44
2016-02-02,9.98,3.47
2016-02-03,9.89,3.45
2016-02-04,10.3,3.48
2016-02-05,10.95,3.46
2016-02-15,10.99,3.42
2016-02-16,10.99,3.51
2016-02-17,10.99,3.52
2016-02-18,10.99,3.53
2016-02-19,10.99,3.51
2016-02-22,10.99,3.58
2016-02-23,10.99,3.52
2016-02-24,10.99,3.52
2016-02-25,10.99,3.34
2016-02-26,10.99,3.39
2016-02-29,10.99,3.36
2016-03-01,10.99,3.38
2016-03-02,10.99,3.47
2016-03-03,10.99,3.51
2016-03-04,10.99,3.69
2016-03-07,10.99,3.66
2016-03-08,10.99,3.68
2016-03-09,10.99,3.69
2016-03-10,10.99,3.6
2016-03-11,10.11,3.64
2016-03-14,10.04,3.64
2016-03-15,10.14,3.64
2016-03-16,10.74,3.71
2016-03-17,10.54,3.7
2016-03-18,10.62,3.7
2016-03-21,10.76,3.71
2016-03-22,10.81,3.72
2016-03-23,10.8,3.7
2016-03-24,10.55,3.64
2016-03-25,10.57,3.66
2016-03-28,10.39,3.64
2016-03-29,10.39,3.63
2016-03-30,10.64,3.71
2016-03-31,10.68,3.71
2016-04-01,10.83,3.74
2016-04-05,10.82,3.75
2016-04-06,10.7,3.73
2016-04-07,10.54,3.69
2016-04-08,10.48,3.68
2016-04-11,10.52,3.71
2016-04-12,10.49,3.7
2016-04-13,10.57,3.74
2016-04-14,10.6,3.75
2016-04-15,10.65,3.74
2016-04-18,10.61,3.69
